timestamp,close,high,low,trade_count,open,volume,vwap,symbol
2016-01-04 05:00:00+00:00,109.5,109.6,108.12,181682,109.43,51517062,108.874273,QQQ
2016-01-05 05:00:00+00:00,109.31,110.18,108.8,151825,110.04,39065561,109.430154,QQQ
2016-01-06 05:00:00+00:00,108.26,108.89,107.41,156916,107.43,42234893,108.150107,QQQ
2016-01-07 05:00:00+00:00,104.87,107.29,104.81,241719,105.96,61742257,105.840546,QQQ
2016-01-08 05:00:00+00:00,104.01,106.29,103.9,239124,105.67,69707476,105.11107,QQQ
2016-01-11 05:00:00+00:00,104.33,105.06,102.73,205716,104.79,50266933,103.943981,QQQ
2016-01-12 05:00:00+00:00,105.54,106.08,104.08,195341,105.31,47042234,105.211913,QQQ
2016-01-13 05:00:00+00:00,101.9,106.23,101.74,275314,106.0,70574873,103.657206,QQQ
2016-01-14 05:00:00+00:00,104.07,104.98,100.67,314253,102.3,79333798,103.098717,QQQ
2016-01-15 05:00:00+00:00,100.84,101.94,99.51,409612,100.57,92469672,100.821065,QQQ
2016-01-19 05:00:00+00:00,101.06,102.37,99.88,249971,102.2,56894987,101.262348,QQQ
2016-01-20 05:00:00+00:00,100.75,101.83,97.25,421766,99.48,87017637,99.227243,QQQ
2016-01-21 05:00:00+00:00,100.85,102.349,99.82,327949,101.19,61852267,101.247594,QQQ
2016-01-22 05:00:00+00:00,103.77,103.81,102.5305,183389,102.84,42866291,103.269694,QQQ
2016-01-25 05:00:00+00:00,102.23,103.99,102.14,177534,103.46,39193385,103.201018,QQQ
2016-01-26 05:00:00+00:00,103.15,103.59,101.76,165839,102.65,36851456,102.831562,QQQ
2016-01-27 05:00:00+00:00,100.58,102.99,100.15,275806,102.54,54785967,101.681502,QQQ
2016-01-28 05:00:00+00:00,102.0,102.29,100.26,234984,102.19,47867123,101.587771,QQQ
2016-01-29 05:00:00+00:00,104.13,104.17,101.94,201355,102.0,54942935,103.342531,QQQ
2016-02-01 05:00:00+00:00,104.41,104.8,103.23,129995,103.62,33039131,104.038389,QQQ
2016-02-02 05:00:00+00:00,102.15,103.97,101.84,176687,103.97,44855348,102.904761,QQQ
2016-02-03 05:00:00+00:00,101.66,102.83,99.88,341146,102.8,61521217,101.12955,QQQ
2016-02-04 05:00:00+00:00,101.65,102.455,100.44,249863,101.35,49489752,101.354923,QQQ
2016-02-05 05:00:00+00:00,98.12,101.33,97.72,289316,101.29,71575973,98.887621,QQQ
2016-02-08 05:00:00+00:00,96.62,97.05,94.84,394818,96.33,92512648,95.904142,QQQ
2016-02-09 05:00:00+00:00,96.32,97.78,95.18,355183,95.36,74098096,96.470766,QQQ
2016-02-10 05:00:00+00:00,96.69,98.69,96.62,280442,97.5,59824217,97.618731,QQQ
2016-02-11 05:00:00+00:00,96.55,97.32,95.19,459591,95.45,77024949,96.165038,QQQ
2016-02-12 05:00:00+00:00,98.02,98.12,96.73,201970,97.68,49445193,97.581077,QQQ
2016-02-16 05:00:00+00:00,100.23,100.23,98.85,174251,99.44,42715953,99.75181,QQQ
2016-02-17 05:00:00+00:00,102.5,102.64,100.7,178625,101.01,42464620,101.916021,QQQ
